gene,spearman_rho,wald_p,wald_q,log2fc_max_min,is_progression_coupled,lineage
ZNF571-AS1,0.0046657922314686144,0.8722097039038459,1.0,14.412763,False,LSEC
ZNF781,-0.0014097803536636802,0.9612367310619436,1.0,15.556963,False,LSEC
LIPE-AS1,0.037366444510039724,0.1975217481463575,0.6764336057551846,2.5001652,False,LSEC
DACT3-AS1,-0.005844794466701369,0.8403085309294529,1.0,14.251442,False,LSEC
NAPA-AS1,0.02525469077808227,0.3838715573056991,0.9465175827280524,14.5503025,False,LSEC
NUCB1-AS1,,1.0,1.0,0.0,False,LSEC
PTOV1-AS1,-0.01770871916995849,0.5414979208642606,1.0,14.268833,False,LSEC
SIGLEC5,,1.0,1.0,0.0,False,LSEC
LENG8-AS1,-0.029547437730254873,0.30826970615764276,0.8506708394160191,16.112644,False,LSEC
ZNF667-AS1,0.08311546464061986,0.004100274514667254,0.05128314356750493,2.1341176,False,LSEC
MIMT1,-0.03389468381854308,0.2424670849373751,0.763682825915893,13.480326,False,LSEC
A1BG-AS1,0.038420541240191536,0.18516346881336299,0.662379158375652,13.774457,False,LSEC
ZFY-AS1,-0.036424137834852266,0.2090704750101751,0.7047961716163325,13.794709,False,LSEC
LINC00278,0.019392480791703755,0.5037433539924266,1.0,13.965317,False,LSEC
FAM224B,,1.0,1.0,0.0,False,LSEC
TTTY14,0.05147411529940998,0.0757777102678706,0.4433838221345183,14.445324,False,LSEC
TTTY10,-0.03752023457525292,0.1956820651551336,0.6728032758122722,13.575174,False,LSEC
TPTEP1,-0.014930552452406069,0.6067249607191951,1.0,2.710753,False,LSEC
LINC00528,-0.06041486181079834,0.03709795635579632,0.28842825527074073,15.23727,False,LSEC
DGCR5,,1.0,1.0,0.0,False,LSEC
LINC00896,-0.008416213261653344,0.7717007393436592,1.0,13.310722,False,LSEC
FAM230A,-0.011856413042340244,0.6827159305222867,1.0,13.808039,False,LSEC
