gene,is_lncRNA,hvg_standard,hvg_forced,mean_raw,var_raw,index_of_dispersion,n_detected
TMEM222,False,False,False,0.052648,0.052761,1.002139,7816.0
SYTL1,False,False,False,0.22584,0.271168,1.200707,28385.0
MAP3K6,False,False,False,0.021828,0.023908,1.095297,3161.0
FCN3,False,True,True,0.323455,23.293258,72.013863,3744.0
CD164L2,False,False,False,0.000551,0.000878,1.594698,66.0
GPR3,False,False,False,0.000374,0.000373,0.999633,57.0
WASF2,False,False,False,0.554448,1.004991,1.812599,53581.0
RP4-752I6.1,False,False,False,7.9e-05,7.9e-05,0.999928,12.0
RP1-159A19.4,False,False,False,0.001324,0.001362,1.028386,199.0
AHDC1,False,False,False,0.014276,0.014886,1.042663,2117.0
FGR,False,False,False,0.400396,0.825445,2.061572,36232.0
RP11-288L9.1,False,False,False,0.000321,0.000334,1.040502,48.0
IFI6,False,True,True,0.245505,0.598073,2.436094,24672.0
RP11-288L9.4,False,False,False,4.6e-05,4.6e-05,0.999961,7.0
FAM76A,False,False,False,0.051265,0.055507,1.08274,7327.0
STX12,False,False,False,0.135738,0.159999,1.178738,18009.0
PPP1R8,False,False,False,0.057912,0.059042,1.019514,8508.0
AL109927.1,False,False,False,2.6e-05,2.6e-05,0.99998,4.0
THEMIS2,False,False,False,0.327073,0.571322,1.746769,33434.0
RPA2,False,False,False,0.237102,0.252491,1.064907,31326.0
SMPDL3B,False,False,False,0.005427,0.006342,1.168493,774.0
RP11-460I13.2,False,False,False,0.000203,0.000216,1.06432,30.0
XKR8,False,True,True,0.040129,0.041796,1.041551,5897.0
EYA3,False,False,False,0.048532,0.051709,1.065467,7014.0
PTAFR,False,True,True,0.078396,0.130104,1.659575,8919.0
DNAJC8,False,False,False,0.400055,0.472331,1.180664,47007.0
AL353354.2,False,False,False,0.000262,0.000262,0.999744,40.0
ATPIF1,False,False,False,0.639176,0.812299,1.270854,66546.0
RP5-1092A3.4,False,False,False,0.016852,0.018011,1.068724,2475.0
RP5-1092A3.5,False,True,True,0.000714,0.000714,0.999292,109.0
SESN2,False,True,True,0.031444,0.035043,1.114488,4501.0
MED18,False,False,False,0.019822,0.020045,1.011269,2977.0
PHACTR4,False,False,False,0.090614,0.107273,1.183844,12259.0
RCC1,False,False,False,0.020386,0.020862,1.023351,3043.0
TRNAU1AP,False,False,False,0.104196,0.10873,1.043521,14798.0
SNHG12,True,False,True,0.089185,0.096203,1.078689,12562.0
TAF12,False,False,False,0.14304,0.146034,1.02093,20168.0
RAB42,False,False,False,0.002006,0.002382,1.187544,282.0
RP11-442N24__B.1,False,False,False,0.001586,0.001662,1.048007,236.0
RNU11,False,False,False,0.016197,0.019488,1.203155,2244.0
GMEB1,False,False,False,0.061052,0.068088,1.115249,8562.0
YTHDF2,False,False,False,0.18895,0.205163,1.085809,25357.0
RP1-212P9.3,False,False,False,0.000229,0.000229,0.999777,35.0
EPB41,False,False,False,0.169233,0.201109,1.188355,21952.0
TMEM200B,False,False,False,0.000236,0.000249,1.055326,35.0
SRSF4,False,False,False,0.233824,0.261101,1.116654,30349.0
RP11-242O24.5,False,False,False,0.000452,0.000452,0.999554,69.0
MECR,False,False,False,0.020628,0.021081,1.021959,3081.0
PTPRU,False,False,False,0.000354,0.000354,0.999653,54.0
MATN1,False,False,False,0.000452,0.000465,1.02854,68.0
MATN1-AS1,True,False,True,0.015188,0.01556,1.024526,2272.0
LAPTM5,False,False,False,2.005742,6.553055,3.267147,108611.0
