gene,is_marker,mean_cp10k,var_cp10k,mean_raw,var_raw,n_detected,is_lncRNA,hvg_standard,hvg_forced
COCH,False,0.011210721347150938,0.048867332288130144,0.004011562739661377,0.0056079977687392805,549.0,False,False,False
RP11-829H16.3,False,0.0010451467373278533,0.0038253570122038245,0.00035396141820541563,0.0003538384488746372,54.0,False,False,False
STRN3,False,0.15902816877404807,0.6758015871127538,0.05346783867225139,0.057662415867738466,7656.0,False,False,False
AP4S1,False,0.06193802618659011,0.25414352073487123,0.02003814917507325,0.02047577562613433,2994.0,False,False,False
HECTD1,False,0.42246213438735175,1.7973066973400946,0.14241703209905676,0.1634047715857824,19055.0,False,False,False
RP11-596D21.1,False,0.008408547479991348,0.0360936965199998,0.0027595880937866663,0.002883088487083705,411.0,False,False,False
HEATR5A,False,0.05483746363046429,0.2420571904268897,0.02055598162022562,0.022545762540404125,2964.0,False,False,False
RP11-176H8.1,False,0.009220049888895444,0.03681523151953473,0.0031725430816929843,0.003254267158382127,477.0,False,False,False
CTD-2213F21.2,False,0.0005218520149581474,0.001979527373719614,0.00017042586802482973,0.00018350770806795682,25.0,False,False,False
DTD2,False,0.03840402609482233,0.14662032798425192,0.013352211275637621,0.013711516574886444,1997.0,False,False,False
NUBPL,False,0.06791201318834025,0.2757426650547149,0.02404315707365675,0.027411277677039735,3416.0,False,False,False
CTD-2213F21.4,False,0.0,0.0,0.0,0.0,0.0,False,False,False
CTD-2213F21.3,False,0.00012081548863062815,0.0006345394956050405,2.6219364311512267e-05,2.621884871683395e-05,4.0,False,True,True
RP11-159D23.2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
RP11-187E13.1,False,0.00044476107427290424,0.0014297217336098822,0.00015731618586907361,0.00015729246851387108,24.0,False,False,False
RP11-187E13.2,False,0.0,0.0,0.0,0.0,0.0,False,False,False
ARHGAP5-AS1,False,0.008872178920942062,0.028835649012600037,0.00393290464672684,0.004140328643610719,584.0,True,False,True
ARHGAP5,False,0.17014853106011446,0.6751478645454405,0.06580404958081791,0.08319716531586786,8687.0,False,False,False
AKAP6,False,0.0019089252977536558,0.005436467288152091,0.0011012133010835153,0.0013622032024896628,153.0,False,False,False
