gene,spearman_rho,wald_p,wald_q,log2fc_max_min,is_progression_coupled,label_set,lineage_name,n_cells
FENDRR,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FGD5-AS1,-0.03428352280347716,0.06121914280353574,0.9152978330342524,1.7139199,False,lineage_leiden,Hepatocyte,2982
FGF13-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FGF14-AS2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FLG-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FLNB-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FOXD2-AS1,0.027457439113943508,0.13386290761848826,1.0,12.6574955,False,lineage_leiden,Hepatocyte,2982
FOXN3-AS1,-0.0036532576534367514,0.8419396983805634,1.0,14.072583,False,lineage_leiden,Hepatocyte,2982
FOXN3-AS2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FOXP1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
FRY-AS1,0.02090894879116041,0.2536887408705666,1.0,13.807875,False,lineage_leiden,Hepatocyte,2982
FTX,-0.0056241965204129035,0.7588448549222305,1.0,1.8685269,False,lineage_leiden,Hepatocyte,2982
GAS5-AS1,0.004159573302422283,0.8203845163672548,1.0,13.172662,False,lineage_leiden,Hepatocyte,2982
GAS6-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GATA3-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GATA6-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GDNF-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GFOD1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GGNBP1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GHRLOS,0.009134288828929915,0.6180585977054468,1.0,13.267668,False,lineage_leiden,Hepatocyte,2982
GK-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GNAS-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GNG12-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GOLGA8M,0.02090424946102247,0.25379548352731396,1.0,13.10421,False,lineage_leiden,Hepatocyte,2982
GPR158-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GRIK1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GRM7-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GRPEL2-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GS1-24F4.2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GS1-279B7.1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
GSN-AS1,-0.013123186481943914,0.47377074628882765,1.0,13.266836,False,lineage_leiden,Hepatocyte,2982
GTSCR1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HAND2-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HAR1A,0.030372331914106442,0.09726699538555515,0.9851615302187684,12.613726,False,lineage_leiden,Hepatocyte,2982
HAR1B,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HAS2-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HCFC1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HCG11,0.009238381068874152,0.6140604745632052,1.0,13.921246,False,lineage_leiden,Hepatocyte,2982
HCG14,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HCG15,0.002159573862894433,0.9061627103790311,1.0,13.295727,False,lineage_leiden,Hepatocyte,2982
HCG17,0.02788297090958773,0.12793837236658637,1.0,12.45101,False,lineage_leiden,Hepatocyte,2982
HCG18,0.04995191790786569,0.0063658111357314615,0.2891418426387501,2.6141217,False,lineage_leiden,Hepatocyte,2982
HCG20,0.013823988011589326,0.45047964156823733,1.0,13.271003,False,lineage_leiden,Hepatocyte,2982
HCG21,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HCG22,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HCG24,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HCG25,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HCG27,-0.03517390182654822,0.054787890477836915,0.8639334515501906,2.040725,False,lineage_leiden,Hepatocyte,2982
HCG9,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HDAC11-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HEXA-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HHIP-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HIF1A-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HLA-DQB1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HM13-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HMGA1P4,0.011792613212436942,0.5197571627738276,1.0,14.259743,False,lineage_leiden,Hepatocyte,2982
HMGN3-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HNF1A-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HNF4A-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HOTAIRM1,-0.09559170816540562,1.6966271921169758e-07,3.6604731669923755e-05,1.3765122,False,lineage_leiden,Hepatocyte,2982
HOTTIP,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HOXA-AS2,-0.008394585089058564,0.6467909483476879,1.0,13.124719,False,lineage_leiden,Hepatocyte,2982
HOXA-AS3,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HOXA10-AS,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HOXA11-AS,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HOXB-AS1,0.0056210282027686085,0.7589764975823649,1.0,13.214224,False,lineage_leiden,Hepatocyte,2982
HOXB-AS2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HOXB-AS3,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HOXC-AS2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HOXD-AS2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HULC,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
HYI-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
IDH1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
IDI2-AS1,-0.02184414260619345,0.23306510787374324,1.0,15.541982,False,lineage_leiden,Hepatocyte,2982
IFNG-AS1,0.03799339349260785,0.03802263202889328,0.7526388506411484,13.040001,False,lineage_leiden,Hepatocyte,2982
IGBP1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
IGBP1-AS2,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
IGFBP7-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
IL12A-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
IL20RB-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
IL21-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
IL21R-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
INHBA-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
INTS6-AS1,0.02944719183624586,0.10789704025845642,0.9851615302187684,14.8299465,False,lineage_leiden,Hepatocyte,2982
IPO9-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
IQCH-AS1,0.024490440719967428,0.18122059707212473,1.0,13.289669,False,lineage_leiden,Hepatocyte,2982
ISM1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ITCH-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ITGB2-AS1,0.009832143267096362,0.5914758827404396,1.0,1.2609854,False,lineage_leiden,Hepatocyte,2982
ITIH4-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ITPK1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
ITPKB-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
JARID2-AS1,-0.006278638549643242,0.7318079209970928,1.0,14.261023,False,lineage_leiden,Hepatocyte,2982
JAZF1-AS1,0.025074461058335856,0.17103066899106198,1.0,12.728363,False,lineage_leiden,Hepatocyte,2982
JMJD1C-AS1,0.0004787232700997512,0.9791528399726495,1.0,13.530741,False,lineage_leiden,Hepatocyte,2982
JPX,0.03706585206696789,0.04297761619092592,0.8062974515819362,2.3140483,False,lineage_leiden,Hepatocyte,2982
KANSL1-AS1,0.036721603744222196,0.04495048416654742,0.8081722465777171,3.014079,False,lineage_leiden,Hepatocyte,2982
KBTBD11-OT1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
KCNIP2-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
KCNJ2-AS1,-0.009268662096615284,0.6128995403901011,1.0,15.860702,False,lineage_leiden,Hepatocyte,2982
KCNQ1-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
KCNQ1OT1,0.03396484292716656,0.06366779064056664,0.926546593727709,15.275185,False,lineage_leiden,Hepatocyte,2982
KCNQ5-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
KCTD21-AS1,0.03282969701700208,0.07305523198538323,0.9851615302187684,13.185009,False,lineage_leiden,Hepatocyte,2982
KDM4A-AS1,-0.01913349537141049,0.29625709503350683,1.0,13.239996,False,lineage_leiden,Hepatocyte,2982
KIAA0087,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
KIF25-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
KIF9-AS1,-0.01631861276645044,0.37303246532734596,1.0,14.148412,False,lineage_leiden,Hepatocyte,2982
KLHL6-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
KMT2E-AS1,-0.008461106778673563,0.6441845454668004,1.0,1.9123232,False,lineage_leiden,Hepatocyte,2982
KRTAP5-AS1,,1.0,1.0,0.0,False,lineage_leiden,Hepatocyte,2982
