gene,cell_type,typeSample,n_cells,detection_rate,mean_cp10k,mean_cp10k_in_detected,pseudobulk_cp10k,n_donors
MALAT1,Endothelial cells,nucSeq,2,1.0,140.8778332399033,140.8778332399033,137.76999416228838,1
MALAT1,Endothelial cells,scRnaSeq,834,0.9976019184652278,480.13173727892655,481.28590010892395,448.6909894552598,9
MALAT1,Fibroblasts,citeSeq,2,1.0,280.33269581219,280.33269581219,255.40609569215053,1
MALAT1,Fibroblasts,nucSeq,1,1.0,337.16779055930186,337.16779055930186,337.16779055930186,1
MALAT1,Fibroblasts,scRnaSeq,127,1.0,266.6841530064518,266.6841530064518,213.16197297217107,3
MALAT1,Hepatocytes,nucSeq,13,0.9230769230769231,128.69307644345724,139.41749948041203,151.3812946204723,2
MALAT1,Hepatocytes,scRnaSeq,11,0.9090909090909091,1346.2555135784967,1480.8810649363463,880.4388748453719,3
MALAT1,Macrophages,citeSeq,2287,0.9886313948404023,254.19686654173216,257.1199618668472,252.1820767378255,6
MALAT1,Macrophages,nucSeq,1,1.0,65.57377049180327,65.57377049180327,65.57377049180327,1
MALAT1,Macrophages,scRnaSeq,4290,0.986013986013986,281.0946779540937,285.081836506634,257.7420189778825,11
MALAT1,Mig.cDCs,citeSeq,32,1.0,609.9989920922565,609.9989920922565,610.8146457324409,4
MALAT1,Mig.cDCs,scRnaSeq,46,1.0,932.819139027894,932.819139027894,751.7442117097818,8
MALAT1,Mono+mono derived cells,citeSeq,13631,0.9994131024869782,270.01166446980295,270.17022670394806,262.4485707723512,6
MALAT1,Mono+mono derived cells,scRnaSeq,16008,0.9999375312343828,316.27424819400585,316.2940066901759,309.925923734743,11
MALAT1,Neutrophils,citeSeq,1172,1.0,241.73343331430894,241.73343331430894,217.72524896586023,4
MALAT1,Neutrophils,scRnaSeq,4166,0.9983197311569851,290.7195366656112,291.2088458160462,282.67251941199885,9
MALAT1,Plasma cells,citeSeq,519,1.0,603.4590506796552,603.4590506796552,530.8541294245325,5
MALAT1,Plasma cells,scRnaSeq,604,0.9966887417218543,573.5818832375488,575.4874708895007,492.1274212427473,11
MALAT1,Resident NK,citeSeq,2669,0.9996253278381416,577.7738773552571,577.9904342808027,569.0363418883709,6
MALAT1,Resident NK,scRnaSeq,8224,0.9998784046692607,612.6437426799594,612.7182463577752,581.8602939316728,11
MALAT1,T cells,citeSeq,45178,0.9999778653326841,650.701719090097,650.7161224749851,640.6574796384741,6
MALAT1,T cells,scRnaSeq,32165,0.9999378206124669,688.7581423882283,688.8009716107754,663.417365069905,11
MALAT1,cDC1s,citeSeq,589,1.0,273.5246186120764,273.5246186120764,268.571575239183,5
MALAT1,cDC1s,scRnaSeq,591,0.9966159052453468,378.7389518624559,380.0249924460296,315.0174441472153,11
MALAT1,cDC2s,citeSeq,1536,1.0,248.4216845944344,248.4216845944344,243.9129154706583,6
MALAT1,cDC2s,scRnaSeq,1093,1.0,292.9908795021266,292.9908795021266,274.08646377081,11
MALAT1,pDCs,citeSeq,506,1.0,442.60710186490536,442.60710186490536,429.2103538474474,5
MALAT1,pDCs,scRnaSeq,708,1.0,493.5050054482325,493.5050054482325,473.37844984173455,10
NEAT1,B cells,citeSeq,1022,0.6516634050880626,7.61305236085996,11.682491760959278,8.339242749666136,6
NEAT1,B cells,scRnaSeq,1328,0.6099397590361446,5.199129769800162,8.524005350981007,5.302109713647958,11
NEAT1,Basophils,citeSeq,171,0.7251461988304093,11.08313232872762,15.28399700171309,12.28900743594394,4
NEAT1,Basophils,scRnaSeq,218,0.7568807339449541,11.912192453685355,15.738533060020652,13.595918768332563,9
NEAT1,Cholangiocytes,citeSeq,13,0.8461538461538461,14.136849872017258,16.70718621238403,17.732219199378157,2
NEAT1,Cholangiocytes,scRnaSeq,142,0.852112676056338,7.535751747056284,8.843609488280926,7.010258344711094,6
NEAT1,Circulating NK/NKT,citeSeq,4160,0.8668269230769231,17.94731800308591,20.704615333565556,17.962656527760384,6
NEAT1,Circulating NK/NKT,scRnaSeq,8407,0.9047222552634709,13.983651136155721,15.45629175672642,13.852140413093903,11
NEAT1,Endothelial cells,citeSeq,93,0.956989247311828,23.773317167937577,24.841780860878593,23.528563610684195,3
NEAT1,Endothelial cells,nucSeq,2,1.0,99.01846116558542,99.01846116558542,79.39287799182719,1
NEAT1,Endothelial cells,scRnaSeq,834,0.9820143884892086,38.07569176551964,38.77304875756214,37.82244577965086,9
NEAT1,Fibroblasts,citeSeq,2,1.0,10.918045318532531,10.918045318532531,10.21624382768602,1
NEAT1,Fibroblasts,nucSeq,1,1.0,55.53351844506148,55.53351844506148,55.53351844506148,1
NEAT1,Fibroblasts,scRnaSeq,127,0.937007874015748,10.328406472181598,11.022753125773638,9.346306326045726,3
NEAT1,Hepatocytes,nucSeq,13,0.9230769230769231,39.586878021296755,42.885784523071486,61.84188534180177,2
NEAT1,Hepatocytes,scRnaSeq,11,0.9090909090909091,43.024063557274864,47.32646991300235,37.648577421610284,3
NEAT1,Macrophages,citeSeq,2287,0.9086139046786182,16.222366489303532,17.853971203579007,16.84899382359866,6
NEAT1,Macrophages,nucSeq,1,1.0,40.98360655737705,40.98360655737705,40.98360655737705,1
NEAT1,Macrophages,scRnaSeq,4290,0.9184149184149184,16.328752294352267,17.779275975322648,15.728928807832434,11
NEAT1,Mig.cDCs,citeSeq,32,0.9375,15.712221178409084,16.759702590303025,18.32258860544742,4
NEAT1,Mig.cDCs,scRnaSeq,46,1.0,18.816251845209145,18.816251845209145,15.682975403174504,8
NEAT1,Mono+mono derived cells,citeSeq,13631,0.9719756437532096,25.17297671900353,25.89877316452088,26.736076031582627,6
NEAT1,Mono+mono derived cells,scRnaSeq,16008,0.9932533733133433,31.49241033554872,31.706321047261877,31.88769843093498,11
NEAT1,Neutrophils,citeSeq,1172,0.9351535836177475,23.257017449006508,24.869730337806228,21.97281786749092,4
NEAT1,Neutrophils,scRnaSeq,4166,0.9829572731637062,103.45101957018075,105.24467583134872,64.83804280113793,9
NEAT1,Plasma cells,citeSeq,519,0.953757225433526,19.458096770124904,20.40151964382793,17.993144315540206,5
NEAT1,Plasma cells,scRnaSeq,604,0.9602649006622517,17.41388978150695,18.134464531086543,16.097567115149836,11
NEAT1,Resident NK,citeSeq,2669,0.7530910453353316,10.46929059537766,13.90175950202138,10.807149997922705,6
NEAT1,Resident NK,scRnaSeq,8224,0.7714007782101168,7.441873954476676,9.647221217152612,7.609759562336797,11
NEAT1,T cells,citeSeq,45178,0.7172960290406836,10.005836081287361,13.949381672542135,10.302655643280229,6
NEAT1,T cells,scRnaSeq,32165,0.8095134462925541,8.904720479251182,11.000089646482612,8.9570766336288,11
NEAT1,cDC1s,citeSeq,589,0.9779286926994907,13.675395070127477,13.984041139418547,14.523985924690479,5
NEAT1,cDC1s,scRnaSeq,591,0.9763113367174281,13.14008790482064,13.458911528161178,11.539544720921569,11
NEAT1,cDC2s,citeSeq,1536,0.9661458333333334,14.162477662705301,14.658736987813576,14.985573302554453,6
NEAT1,cDC2s,scRnaSeq,1093,0.9807868252516011,13.395422586075941,13.657832916586758,13.11368060514241,11
NEAT1,pDCs,citeSeq,506,0.6936758893280632,6.198555526955446,8.935809392135202,6.012446455248163,5
NEAT1,pDCs,scRnaSeq,708,0.7669491525423728,5.764157527923048,7.515697108231157,5.750694247517443,10
